Totalsales;Travel To
459,92;BRUXELLES
214,92;BRUXELLES
52;CAGLIARI
286,62;CAGLIARI
643,53;LUXEMGOURG
254,62;CAGLIARI
197,62;CAGLIARI
306,48;VENEZIA
130,62;FIUMICINO
130,62;FIUMICINO
221,92;MILANO
98,23;FIUMICINO
1817,31;LOS ANGELES
188,62;CAGLIARI
-188,62;CAGLIARI
237,62;CAGLIARI
49;CAGLIARI
254,62;CAGLIARI
188,62;CAGLIARI
959,53;MOMBASA
195,92;CATANIA
407,75;CATANIA
260,75;CATANIA
170,75;CATANIA
645,71;TRIESTE
318,72;OLBIA
356,99;TOLOUSE
318,72;OLBIA
180,62;CAGLIARI
-180,62;CAGLIARI
338,74;PARIGI
205,23;FIUMICINO
1041,72;CAYENNE
2593,21;ORLANDO
85,92;CATANIA
103,41;FIUMICINO
562,75;FIUMICINO
294,49;BARI
205,62;CAGLIARI
599,59;TORINO
509,26;GENOVA
424,26;GENOVA
224,26;GENOVA
188,26;GENOVA
130,62;FIUMICINO
130,62;FIUMICINO
-130,62;FIUMICINO
130,62;FIUMICINO
130,62;FIUMICINO
221,92;MILANO
98,23;FIUMICINO
188,62;CAGLIARI
49;FIUMICINO
543,71;MADRID
273,38;CASABLANCA
301,9;FIUMICINO
455,96;WARSAW
525,71;TRIESTE
415,54;PALERMO
456,54;PALERMO
196,92;PALERMO
336,14;BUDAPEST
599,59;TORINO
450,12;BRINDISI
222,62;CAGLIARI
64;FIUMICINO
355,74;BRUXELLES
292,18;FIUMICINO
-268,18;FIUMICINO
444,18;FIUMICINO
56,7;FIUMICINO
73,92;CAGLIARI
56,7;FIUMICINO
130,62;CAGLIARI
102,11;FIUMICINO
68,56;BARI
643,53;LUXEMGOURG
277,92;LAMEZIA TERME
241,75;CATANIA
286,62;FIUMICINO
286,62;FIUMICINO
670,25;LONDRA
140,74;AMSTERDAM
430,02;FIUMICINO
387,18;FIUMICINO
50,99;BRUXELLES
296,8;FIUMICINO
234;CAGLIARI
1504,31;FIUMICINO
205,62;CAGLIARI
763,31;FIUMICINO
165,92;OLBIA
-165,92;OLBIA
303,7;PARIGI
973,72;CAYENNE
110;ARZACHENA
247,81;No_Travel To
817,61;No_Travel To
161,94;No_Travel To
100;NAPOLI
200;ROMA
115;ROMA
400;ROMA
588;ROMA
-400;ROMA
230;ROMA
-200;ROMA
513;ROMA
588;ROMA
-513;ROMA
-588;ROMA
300;USTICA
233,95;No_Travel To
59;TERRANUOVA BRAC
160;CATANIA
877,18;No_Travel To
131,1;No_Travel To
54;LATINA
307,51;No_Travel To
285,08;No_Travel To
93;MILANO
519;VENEZIA
230;ROMA
836,61;No_Travel To
146,96;No_Travel To
121;NAPOLI
250,31;No_Travel To
464,84;No_Travel To
213,4;NAPOLI
99,63;No_Travel To
666;ROMA
257,97;No_Travel To
178;NAPOLI
115;ROMA
221,7;ROMA
128,21;No_Travel To
85;ALASSIO
218,49;No_Travel To
360;USTICA
199,26;No_Travel To
171,58;No_Travel To
666;ROMA
87,4;No_Travel To
198,52;No_Travel To
108;ROMA
75;PARMA
85;LAMEZIA TERME
164,47;No_Travel To
115,9;VENEZIA
94,5;MILANO
-94,5;MILANO
321,86;No_Travel To
84;CATANIA
-80;CATANIA
2096,19;No_Travel To
-1378;NETTUNO
1378;NETTUNO
1380,08;NETTUNO
-1380,08;NETTUNO
630;CATANIA
-540;CATANIA
480;CATANIA
560;CATANIA
80;CATANIA
480;CATANIA
118;CATANIA
205,2;CATANIA
336;CATANIA
539,52;No_Travel To
194,82;No_Travel To
74,03;No_Travel To
-105;VILLAPUTZU QUIR
122,9;ROMA
-122,9;ROMA
145,97;No_Travel To
50;ZOPPOLA
105;ROMA
534,65;No_Travel To
110;ARZACHENA
545;VENEZIA
315,49;No_Travel To
122,9;ROMA
-122,9;ROMA
50,06;No_Travel To
44,51;No_Travel To
78,52;No_Travel To
450;CATANIA
360;CATANIA
90;CATANIA
55,84;No_Travel To
336;CATANIA
50,06;No_Travel To
446,28;No_Travel To
99;TORINO
-99;TORINO
90;TORINO
130,97;No_Travel To
174,8;No_Travel To
237,17;No_Travel To
505,7;No_Travel To
132,35;No_Travel To
284;GIOIA DEL COLLE
84,6;ROMA
99,6;ROMA
-84,6;ROMA
50;ZOPPOLA
-50;ZOPPOLA
100;ZOPPOLA
100;ZOPPOLA
230;ROMA
253,04;No_Travel To
115;ARZACHENA
203,15;No_Travel To
122,9;ROMA
-122,9;ROMA
44,51;No_Travel To
75;PARMA
106,4;VENEZIA
240;VINCI
189,25;No_Travel To
148;ROMA
148;ROMA
180;TARQUINIA
160;TARQUINIA
383;QUINTO DI TREVI
255,83;No_Travel To
210;ROMA
235,12;No_Travel To
127,5;ROMA
240;ASSEMINI
313,71;No_Travel To
176;ALASSIO
104,32;No_Travel To
174,92;No_Travel To
115;ARZACHENA
180;MALBORGHETTO VA
240,56;VENEZIA
98;ROMA
115,9;VENEZIA
240;TARQUINIA
160;TARQUINIA
320;TARQUINIA
-240;TARQUINIA
87,4;No_Travel To
392,78;No_Travel To
74;ROMA
60;TERRANUOVA BRAC
279,66;No_Travel To
217,31;No_Travel To
170,86;No_Travel To
597,85;No_Travel To
480,63;No_Travel To
300;FERRARA
111,03;No_Travel To
300;FERRARA
128,21;No_Travel To
132,05;No_Travel To
268,36;No_Travel To
300;FERRARA
174,8;No_Travel To
132,11;No_Travel To
131,1;No_Travel To
477,51;No_Travel To
244,5;No_Travel To
71,1;ROMA
150,16;No_Travel To
607,5;VENEZIA
100,15;No_Travel To
97,42;No_Travel To
158;ROMA
66,55;No_Travel To
320;TARQUINIA
239,3;No_Travel To
320;TARQUINIA
99,63;No_Travel To
128,69;No_Travel To
280;POGGIARDO
311,5;No_Travel To
335,85;No_Travel To
89,02;No_Travel To
204,29;No_Travel To
81,23;No_Travel To
80;TARQUINIA
-80;TARQUINIA
74;ROMA
44,87;No_Travel To
240;TARQUINIA
160;TARQUINIA
-240;TARQUINIA
240;ASSEMINI
78,41;No_Travel To
431,2;VEDELAGO
62;TERRANUOVA BRAC
160;TARQUINIA
142;FERRARA
114,97;No_Travel To
182,93;No_Travel To
284;GIOIA DEL COLLE
153,35;No_Travel To
174,8;No_Travel To
243,9;No_Travel To
88;MANTOVA
153;RIMINI
339,4;No_Travel To
218,49;No_Travel To
240,68;No_Travel To
300;CATANIA
-210;POGGIARDO
80;MONTEGROTTO TER
180;CATANIA
936;TAORMINA
360;CATANIA
108;CATANIA
79;MONFALCONE
79;MONFALCONE
-79;MONFALCONE
230;ARZACHENA
275,78;No_Travel To
135;ORISTANO
-135;ORISTANO
75;TORINO
62;PISTOIA
75;PRATO
170;AREZZO
-75;TORINO
-62;PISTOIA
-75;PRATO
-170;AREZZO
146,4;LAIVES
100;ZOPPOLA
246,73;No_Travel To
135;ZOPPOLA
104,38;No_Travel To
112,66;No_Travel To
85,47;No_Travel To
115;ROMA
262,84;No_Travel To
49,28;No_Travel To
56,6;No_Travel To
116,9;No_Travel To
81;GIOIA DEL COLLE
71;GIOIA DEL COLLE
160;TIVOLI
120;MALBORGHETTO VA
244,34;No_Travel To
309,96;MILANO
148;ROMA
90;CAGLIARI
69;ROMA
162;MILANO
87,4;No_Travel To
164,05;No_Travel To
141,93;No_Travel To
195,59;No_Travel To
304,45;No_Travel To
300;ALASSIO
339,94;No_Travel To
273,19;No_Travel To
137,38;No_Travel To
176;ALASSIO
121,78;No_Travel To
139,87;No_Travel To
317,32;No_Travel To
196,21;No_Travel To
300,27;No_Travel To
228,21;No_Travel To
59;NOVARA
85,5;UDINE
136;BOLZANO
210;TRENTO
-136;BOLZANO
444,12;No_Travel To
174,8;No_Travel To
343,17;No_Travel To
80,1;IMOLA
79;PARMA
85,5;BOLOGNA
122;No_Travel To
220;ALASSIO
250,2;No_Travel To
330;ALASSIO
89,02;No_Travel To
106,2;ROMA
220;ROMA
-106,2;ROMA
111,45;No_Travel To
102;ROMA
-102;ROMA
72;ROMA
72;ROMA
64;PORTOGRUARO
155,66;No_Travel To
58,45;No_Travel To
80;MONRUPINO
80;MONRUPINO
-80;MONRUPINO
117,41;No_Travel To
30;TAORMINA
119;PALERMO
105;ISOLA DELLE FEM
59;PALERMO
105;ISOLA DELLE FEM
197,55;No_Travel To
80;MONRUPINO
80;MONRUPINO
-80;MONRUPINO
207;VENEZIA
506,91;No_Travel To
80;TIVOLI
80;TIVOLI
244,11;No_Travel To
497,21;No_Travel To
106,4;VENEZIA
180;MALBORGHETTO VA
383;QUINTO DI TREVI
232,5;ROMA
-116,25;ROMA
178;ROMA
936;TAORMINA
75,5;ROMA
345;ROMA
229,8;ROMA
217,18;No_Travel To
164,19;No_Travel To
-260;ALASSIO
340;ALASSIO
200;ALASSIO
339,4;No_Travel To
160;CHIETI
229,36;No_Travel To
99,63;No_Travel To
124;PERUGIA
100;ZOPPOLA
180;TERRANUOVA BRAC
-165;TERRANUOVA BRAC
311;TERRANUOVA BRAC
-291;TERRANUOVA BRAC
246;TERRANUOVA BRAC
180;TERRANUOVA BRAC
60;TERRANUOVA BRAC
200,23;No_Travel To
74;ROMA
-74;ROMA
-74;ROMA
106,4;VENEZIA
187,2;MONTANO LUCINO
120;MONFALCONE
74;ROMA
-74;ROMA
213;FERRARA
88;MANTOVA
153;RIMINI
461,06;No_Travel To
78;MOENA
160;CHIETI
65;PERUGIA
99,6;ROMA
120;MALBORGHETTO VA
124;PERUGIA
244,2;ROMA
-244,2;ROMA
221,7;ROMA
240;MALBORGHETTO VA
180;MALBORGHETTO VA
60;MALBORGHETTO VA
115;ROMA
221,7;ROMA
50;ZOPPOLA
85;ROMA
83,5;ROMA
85;LAMEZIA TERME
143;ROMA
-143;ROMA
98,1;ROMA
75;ROMA
114,9;ROMA
100;CATANIA
480;ARZACHENA
99,63;No_Travel To
402,5;ARZACHENA
-385;ARZACHENA
402,5;ARZACHENA
-385;ARZACHENA
402,5;ARZACHENA
-385;ARZACHENA
480;ARZACHENA
137,74;No_Travel To
402,5;ARZACHENA
-385;ARZACHENA
44,7;No_Travel To
480;ARZACHENA
115;ARZACHENA
94,5;LAIVES
80,5;DARMSTADT
89,9;PARAY VIEILLE P
588,2;THE HAGUE
1513,96;SALY PORTUDAL
405,48;LA TESTE DE BUC
52,3;NAPOLI
52,3;ROMA
30,5;No_Travel To
109,8;ROMA
109,8;MILANO
242,68;FIUMICINO
1084,33;LONDRA
821,43;MALANG
50;No_Travel To
88,4;PARAY VIEILLE P
50;No_Travel To
30,5;No_Travel To
30,5;No_Travel To
407,7;ORLANDO
441,48;LA TESTE DE BUC
90,65;MERIGNAC
298,29;MENDOZA
1052,56;No_Travel To
1084,33;LONDRA
50;No_Travel To
722,89;LONDRA
38,98;FT. WORTH
68,4;ROMA
24,3;BOLOGNA
24,3;RIMINI
68,4;BOLOGNA
52,3;ROMA
52,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
950,16;MENDOZA
725,31;LONDRA
1084,33;LONDRA
114,3;ROMA
114,3;TORINO
114,3;TORINO
114,3;ROMA
105,3;VENEZIA
105,3;ROMA
38,98;FT. WORTH
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
4,75;FERRARA
58;BOLOGNA
58;ROMA
4,75;BOLOGNA
11,6;BOLOGNA
-58;BOLOGNA
4,75;FERRARA
68,4;BOLOGNA
49,9;ROMA
4,75;FERRARA
77,4;BOLOGNA
77,4;ROMA
4,75;BOLOGNA
20,25;ROMA
-77,4;ROMA
79,9;ROMA
4,75;FERRARA
68,4;BOLOGNA
49,9;ROMA
70,05;NANTES
55;MALANG
790;ATENE
7,33;BUDAPEST
722,89;LONDRA
93,6;ROMA
79,7;GENOVA
68,4;BOLOGNA
68,4;BOLOGNA
92,68;AGADIR
400;No_Travel To
54,2;ROMA
60,3;FIRENZE
109,8;ROMA
109;No_Travel To
1330,97;LONDRA
5333,68;AIX EN PROVENCE
140,75;CIAMPINO
130,62;FIUMICINO
136,59;GIACARTA
446,92;FRANCOFORTE
175,74;PARIGI
1935,72;CAYENNE
160,62;FIUMICINO
740,76;AMSTERDAM
130,62;FIUMICINO
-130,62;FIUMICINO
488,76;AMSTERDAM
649,12;BORDEAUX
65;BORDEAUX
114,65;CAGLIARI
102,7;FIUMICINO
222,62;CAGLIARI
299,91;LONDRA
56,7;ALGHERO
73,92;ALGHERO
-56,7;ALGHERO
-73,92;ALGHERO
374,73;PARIGI
2023,72;CAYENNE
384,79;CAGLIARI
327,65;CATANIA
130,62;FIUMICINO
1152,07;ORLANDO
130,62;CAGLIARI
744,12;BORDEAUX
131;BORDEAUX
103,41;CAGLIARI
277,65;CATANIA
297,65;CATANIA
-297,65;CATANIA
389,59;TORINO
269,91;LONDRA
239,91;LONDRA
660,92;BRUXELLES
130,62;FIUMICINO
144,12;BRINDISI
506,86;PALERMO
343,87;VENEZIA
264,15;LONDRA
208,02;BARI
299,91;LONDRA
205,62;CAGLIARI
223,12;BRINDISI
194,12;BRINDISI
267,38;FRANCOFORTE
318,95;BARI
157,12;BRINDISI
237,62;CAGLIARI
205,62;CAGLIARI
472,87;VENEZIA
444,86;PALERMO
200,75;CATANIA
58;CATANIA
444,75;CATANIA
322,8;BRINDISI
340,8;BRINDISI
171,75;FIUMICINO
294,26;GENOVA
223,26;GENOVA
239,91;LONDRA
357,59;TORINO
130,62;CAGLIARI
1056,49;MOMBASA
526,4;LONDRA
104,44;MARSEILLE
65,9;FIUMICINO
993,57;SEUL INCHEON
723,5;CAGLIARI
89,02;No_Travel To
495,83;No_Travel To
94,1;No_Travel To
104,04;No_Travel To
284,49;No_Travel To
368,93;No_Travel To
280,62;No_Travel To
261;NAPOLI
1127,91;No_Travel To
345;ROMA
99,35;No_Travel To
878,33;No_Travel To
424;ROMA
-400;ROMA
2363,86;No_Travel To
386,53;No_Travel To
80;CATANIA
513,17;No_Travel To
504;CATANIA
84;CATANIA
548,33;No_Travel To
71,1;ROMA
400;CATANIA
-400;CATANIA
507,68;No_Travel To
80;CATANIA
337,55;No_Travel To
173,56;CATANIA
202,64;No_Travel To
320,4;MANFREDONIA
114,73;No_Travel To
74,63;No_Travel To
93,46;No_Travel To
230;ROMA
133,41;No_Travel To
65;LALLIO
-65;LALLIO
64;LALLIO
101;VINCI
70;LECCE
319,45;No_Travel To
135;MARSALA
90;SESTO AL REGHEN
100;BARI
135;CIVITA CASTELLA
135;CIVITA CASTELLA
-135;CIVITA CASTELLA
131,65;No_Travel To
196;ROMA
65;LALLIO
-65;LALLIO
64;LALLIO
173,45;No_Travel To
85,79;No_Travel To
300;FERRARA
300;FERRARA
114,22;No_Travel To
114,22;No_Travel To
-114,22;No_Travel To
280;FERRARA
400;FERRARA
270,51;No_Travel To
401,4;MANFREDONIA
161,09;No_Travel To
210;LECCE
195,59;No_Travel To
770;POGGIARDO
-630;POGGIARDO
146,69;No_Travel To
200;CROTONE
67,5;MARSALA
294,23;No_Travel To
188;LECCE
94;LECCE
209,79;No_Travel To
107;SANREMO
88;MANTOVA
88;MANTOVA
-88;MANTOVA
280;CERVIA
180,51;No_Travel To
180,51;No_Travel To
44,19;No_Travel To
133;No_Travel To
335,38;No_Travel To
335,38;No_Travel To
420;CATANIA
90;CATANIA
183,73;No_Travel To
80;PADUA
113;LECCE
167,92;No_Travel To
151;LECCE
213,93;No_Travel To
195,59;No_Travel To
199,8;ROMA
-199,8;ROMA
229,8;ROMA
195,57;No_Travel To
149,78;No_Travel To
153,46;No_Travel To
269,38;No_Travel To
168,74;No_Travel To
307,16;No_Travel To
260;ALASSIO
257,86;No_Travel To
97,42;No_Travel To
214,45;No_Travel To
217,87;No_Travel To
79;ROMA
196,86;No_Travel To
458,13;No_Travel To
307,8;ROMA
196;ROMA
196;ROMA
547,06;No_Travel To
827,77;No_Travel To
102,83;No_Travel To
254;SANREMO
280;CERVIA
264,69;No_Travel To
280,42;No_Travel To
230;ROMA
180;MALBORGHETTO VA
94,84;No_Travel To
300;ROMA
230;ROMA
144,16;No_Travel To
717,31;No_Travel To
394,87;No_Travel To
402,42;No_Travel To
90;PISA
90;PISA
349,62;No_Travel To
63;ARZACHENA
-55;ARZACHENA
63;ARZACHENA
63;ARZACHENA
-55;ARZACHENA
82,81;No_Travel To
120,84;No_Travel To
229,45;No_Travel To
347,96;ANTWERP
150;DARMSTADT
455,4;AIX EN PROVENCE
195,83;FIUMICINO
70,2;TORINO
39;MILANO
109,8;MILANO
109,8;ROMA
70,2;TORINO
39;MILANO
68;TORINO
39;MILANO
45;TORINO
39;MILANO
39;TORINO
39;MILANO
1355,07;SAN FRANCISCO
139,33;No_Travel To
-122,73;No_Travel To
83,42;No_Travel To
149,17;No_Travel To
39;TORINO
39;MILANO
39;TORINO
39;MILANO
39;TORINO
39;MILANO
39;TORINO
39;MILANO
90,45;BREST
472,2;QUIMPER
93,3;BRUXELLES
114,3;TORINO
114,3;ROMA
51,86;No_Travel To
72;BARI
72;ROMA
2816;THE HAGUE
1705,06;SCHEVENINGEN
405;BISCARROSSE
455,4;AIX EN PROVENCE
217,25;FIUMICINO
109,8;MILANO
148,83;EMMENBRCKE
2546;SCHEVENINGEN
862,08;AGADIR
406,57;AGADIR
1252,07;AGADIR
52,3;NAPOLI
150;ROCHEFORT
225;ROCHEFORT
551,05;LA TESTE DE BUC
545;LA TESTE DE BUC
438,99;TALLINN
156,05;TALLINN
60,3;FIRENZE
54,2;ROMA
42,8;NAPOLI
42,8;ROMA
14;FIUMICINO
14;ROMA
52,3;NAPOLI
52,3;ROMA
159;BERLIN
14;FIUMICINO
14;ROMA
14;FIUMICINO
14;ROMA
347,96;ANTWERP
14;FIUMICINO
14;ROMA
109,8;ROMA
109,8;MILANO
5;ROMA
14;CIVITAVECCHIA
53,2;SALERNO
39;ROMA
50;FIUMICINO
50;No_Travel To
52,3;ROMA
52,3;NAPOLI
360;ROCHEFORT
52,3;ROMA
52,3;NAPOLI
51,86;No_Travel To
52,3;ROMA
52,3;NAPOLI
342,02;No_Travel To
310,6;KIEV
-228;KIEV
68,4;ROMA
68,4;BOLOGNA
909,23;THE HAGUE
105,3;VENEZIA
105,3;ROMA
21,1;VENEZIA
-105,3;VENEZIA
21,1;ROMA
-105,3;ROMA
54,9;ROMA
54,9;NAPOLI
53,2;SALERNO
53,2;ROMA
90,45;BREST
472,2;QUIMPER
148,83;EMMENBRCKE
42,8;NAPOLI
42,8;ROMA
294,2;AIX EN PROVENCE
270;ROCHEFORT
-270;ROCHEFORT
68,4;ROMA
68,4;BOLOGNA
39,5;ROMA
39,5;NAPOLI
47,97;FIUMICINO
551,05;LA TESTE DE BUC
545;LA TESTE DE BUC
52,3;ROMA
-52,3;ROMA
35,31;No_Travel To
114,3;TORINO
114,3;ROMA
42,8;NAPOLI
42,8;ROMA
188,4;No_Travel To
188,4;No_Travel To
168,98;MILANO
77,4;ROMA
2,55;BOLOGNA
9,85;BOLOGNA
24,3;RIMINI
77,4;BOLOGNA
372,9;CASABLANCA
596,7;No_Travel To
105,3;VENEZIA
105,3;ROMA
10,25;VENEZIA
-105,3;VENEZIA
4,5;EMPOLI
54,2;FIRENZE
4,5;FIRENZE
54,2;VENEZIA
54,5;VENEZIA
54,5;ROMA
305,01;CASABLANCA
186,08;LONDRA
52,3;ROMA
52,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
-153;ERDING
54,9;ROMA
54,9;NAPOLI
34,84;BARI
170;ROCHEFORT
148,83;EMMENBRCKE
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
86,5;ROMA
109,8;MILANO
114,3;ROMA
114,3;TORINO
114,3;ROMA
114,3;TORINO
114,3;ROMA
114,3;TORINO
109,8;MILANO
109,8;ROMA
551,15;ORLANDO
52,3;ROMA
52,3;NAPOLI
110;ROMA
52,3;NAPOLI
-52,3;ROMA
54,9;ROMA
58;BOLOGNA
11,6;ROMA
-58;ROMA
58;BOLOGNA
-58;BOLOGNA
-11,6;BOLOGNA
79,9;ROMA
4,75;FERRARA
68,4;BOLOGNA
59,9;ROMA
158;ROMA
4,75;FERRARA
68,4;BOLOGNA
49,9;ROMA
52,3;ROMA
52,3;NAPOLI
150;DARMSTADT
4,75;FERRARA
77,4;BOLOGNA
79,9;ROMA
52,3;ROMA
52,3;NAPOLI
4,75;FERRARA
68,4;BOLOGNA
59,9;ROMA
331,95;BARI
39;FIUMICINO
54,9;ROMA
54,9;NAPOLI
8,4;PISA
3,4;VENEZIA
59,4;FIRENZE
35,6;VENEZIA
8,4;FIRENZE
3,4;MEOLO
4,5;EMPOLI
44,7;FIRENZE
86,5;ROMA
86,5;MILANO
96,3;PADOVA
96,3;ROMA
163,2;No_Travel To
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
52,3;ROMA
52,3;NAPOLI
81,7;VENEZIA
-81,7;VENEZIA
81,7;ROMA
-81,7;ROMA
117;VENEZIA
117;ROMA
52,3;ROMA
52,3;NAPOLI
104,4;ROMA
90,9;VERONA
7,85;TRENTO
96,3;PADOVA
96,3;ROMA
159;BERLIN
30,5;No_Travel To
157;BRUXELLES
109,8;MILANO
122;MILANO
54,9;NAPOLI
117;VENEZIA
19,45;TRIESTE
40;VENEZIA
117;ROMA
68,4;BOLOGNA
68,4;ROMA
34,5;BOLOGNA
-34,5;ROMA
-34,5;BOLOGNA
109,8;ROMA
109,8;MILANO
91,2;ROMA
68,4;ROMA
68,4;BOLOGNA
74,5;TRENTO
74,5;ROMA
54,2;FIRENZE
93,6;ROMA
79,7;GENOVA
93,6;ROMA
79,7;GENOVA
58;ROMA
68,4;BOLOGNA
58;BOLOGNA
372,9;CASABLANCA
128,7;VENEZIA
128,7;NAPOLI
-128,7;NAPOLI
128,7;NAPOLI
159,58;No_Travel To
-159,58;No_Travel To
142,97;No_Travel To
14,7;No_Travel To
438,99;TALLINN
160;BRUXELLES
-160;BRUXELLES
52,3;ROMA
52,3;NAPOLI
64,5;NAPOLI
64,5;FIRENZE
87,4;NAPOLI
87,4;FIRENZE
52,3;ROMA
52,3;NAPOLI
52,3;NAPOLI
114,3;ROMA
54,2;ROMA
54,2;FIRENZE
52,3;ROMA
52,3;NAPOLI
10,5;ROMA
10,5;NAPOLI
-52,3;ROMA
-52,3;NAPOLI
85;ROMA
109,8;ROMA
109,8;MILANO
110;ROMA
110;ROMA
110;ROMA
110;ROMA
109,8;MILANO
109,8;ROMA
1371,36;MALINDI
292;AIX EN PROVENCE
372,9;CASABLANCA
14;FIUMICINO
14;ROMA
626,77;ANVERSA
668,38;FRANCOFORTE
70,74;MARSEILLE
977,8;SINGAPORE
583,06;PHILADELPHIA
608,92;BRUXELLES
342,54;CAGLIARI
130,62;FIUMICINO
486,15;BREST
581,92;BRUXELLES
130,62;FIUMICINO
260,86;PALERMO
130,62;FIUMICINO
130,62;CAGLIARI
395,74;AMSTERDAM
247,66;FIUMICINO
70,74;MARSEILLE
231,09;ZUERICH
414,24;CAGLIARI
608,92;BRUXELLES
556,5;AMSTERDAM
515,72;AGADIR
535,78;AGADIR
50,31;FIUMICINO
130,62;FIUMICINO
489,74;BRUXELLES
503,18;FIUMICINO
759,5;CAGLIARI
519,12;BORDEAUX
384,76;BORDEAUX
650,95;CAGLIARI
130,62;FIUMICINO
130,62;FIUMICINO
285,67;FIUMICINO
159,62;CAGLIARI
298,69;BERLIN
130,62;CAGLIARI
130,62;CAGLIARI
626,77;ANVERSA
130,62;CAGLIARI
130,62;CAGLIARI
359,92;BRUXELLES
130,62;FIUMICINO
260,86;PALERMO
130,62;FIUMICINO
977,8;SINGAPORE
130,62;FIUMICINO
535,17;AMSTERDAM
130,62;CAGLIARI
486,15;BREST
231,09;ZUERICH
414,24;CAGLIARI
130,62;FIUMICINO
320,54;VENEZIA
120;VENEZIA
151,96;MARSEILLE
712,92;BRUXELLES
-712,92;BRUXELLES
340,8;BRINDISI
130,62;CAGLIARI
-130,62;CAGLIARI
130,62;FIUMICINO
130,62;CAGLIARI
73,92;CAGLIARI
56,7;FIUMICINO
519,12;BORDEAUX
384,76;BORDEAUX
650,95;CAGLIARI
130,62;CAGLIARI
130,62;CAGLIARI
130,62;CAGLIARI
-660,92;BRUXELLES
607,12;CASABLANCA
143,12;BRINDISI
1235,21;DOHA
355,74;AMSTERDAM
235,47;FIUMICINO
607,12;CASABLANCA
560,88;LONDRA
143,12;BRINDISI
333,12;BRINDISI
342,12;BRINDISI
157,12;BRINDISI
106,11;FIUMICINO
130,62;FIUMICINO
447,74;BRUXELLES
381,18;FIUMICINO
165,09;ZUERICH
331,07;CAGLIARI
388,17;MOMBASA
1287;FIUMICINO
342,12;BRINDISI
252,74;AMSTERDAM
299,64;FIUMICINO
157,12;BRINDISI
453;BRUXELLES
340,8;BRINDISI
1092,14;ORLANDO
669,71;TRIESTE
167,92;CATANIA
308,95;FIUMICINO
502,64;MOMBASA
506;FIUMICINO
130,62;CAGLIARI
713,38;FRANCOFORTE
323,98;VENEZIA
204,05;VENEZIA
144;FIUMICINO
282,12;BRINDISI
342,12;BRINDISI
237,62;CAGLIARI
130,62;CAGLIARI
56,7;FIUMICINO
373,12;BRINDISI
372,12;BRINDISI
144,12;BRINDISI
262,75;CATANIA
230,75;CATANIA
130,62;CAGLIARI
262,75;CATANIA
305,75;CATANIA
106,92;CATANIA
80;CAGLIARI
298,69;BERLIN
428,92;BRUXELLES
82,49;BARI
382,75;FIUMICINO
229,62;CAGLIARI
130,62;CAGLIARI
249,21;PRAGA
559,26;GENOVA
130,62;FIUMICINO
56,7;FIUMICINO
149,92;BRINDISI
346,21;FIUMICINO
73,92;CAGLIARI
503,92;BRUXELLES
361,92;TORINO
459,26;GENOVA
607,12;CASABLANCA
249,21;PRAGA
336,86;PALERMO
73,92;CAGLIARI
56,7;FIUMICINO
387,05;TALLINN
285,67;FIUMICINO
523,92;BRUXELLES
73,92;CAGLIARI
130,62;CAGLIARI
248,92;TRIESTE
388,17;MOMBASA
1287;FIUMICINO
185,53;PARIGI
909,79;SINGAPORE
245,18;FIUMICINO
1129,38;MOMBASA
1531,37;FIUMICINO
217,74;BRUXELLES
779,06;MOMBASA
130,62;FIUMICINO
725,63;MOMBASA
148,19;MARSEILLE
130,62;CAGLIARI
607,12;CASABLANCA
159,62;CAGLIARI
130,62;CAGLIARI
909,79;SINGAPORE
272;ABANO TERME
120;PAVIA
-120;PAVIA
152,46;No_Travel To
495,1;No_Travel To
1440;MONTEGROTTO TER
171,11;No_Travel To
1440;MONTEGROTTO TER
254,52;No_Travel To
400;MATERA
420;CIVITA CASTELLA
134;TORINO
238,75;No_Travel To
390;USTICA
449,36;VENEZIA
-449,36;VENEZIA
369,26;No_Travel To
63;TORRE A MARE
556,19;No_Travel To
350,58;No_Travel To
350,58;No_Travel To
-350,58;No_Travel To
71,1;ROMA
326,01;ROMA
-71,1;ROMA
78;USTICA
78;USTICA
316;ROMA
335,38;No_Travel To
400;MATERA
490;MATERA
130;CALENZANO
97,2;LASTRA A SIGNA
-97,2;LASTRA A SIGNA
179,58;No_Travel To
108;BARI
232;ROMA
198,75;No_Travel To
326,01;ROMA
170;ROMA
75;ROMA
-75;ROMA
390;USTICA
316;ROMA
857,45;No_Travel To
220;ROMA
94,57;No_Travel To
194,09;No_Travel To
125,1;VENEZIA
286,03;No_Travel To
136;SALERNO
2029,39;No_Travel To
400;CATANIA
-400;CATANIA
160;NAPOLI
1050,01;PADUA
1260;CATANIA
-1170;CATANIA
123,64;No_Travel To
67,5;MARSALA
302,56;No_Travel To
79;MANFREDONIA
49;MONTE S. ANGELO
97,36;No_Travel To
142;LECCE
