Totalsales;Travel To
199,26;No_Travel To
139,69;No_Travel To
201,9;No_Travel To
512;MISTERBIANCO
373,07;No_Travel To
65;TEULADA
90;CAGLIARI
148;ROMA
121;FIUMICINO
188;ROMA
94;ROMA
100;VENEZIA
100;LIDO DI JESOLO
102;VENEZIA
-102;VENEZIA
107;ROMA
153;TORINO
448;MISTERBIANCO
505,5;CATANIA
174,8;No_Travel To
218,49;No_Travel To
249,11;No_Travel To
148;ROMA
121;FIUMICINO
75;FERRARA
70;CIVITAVECCHIA
99,63;No_Travel To
507,6;ROMA
597,6;ROMA
-507,6;ROMA
162;LATINA
567;MISTERBIANCO
1108,65;CATANIA
131,1;No_Travel To
60;CHIAVARI
198;PORDENONE
404,8;No_Travel To
871,5;CATANIA
267,7;No_Travel To
269,89;No_Travel To
161,94;No_Travel To
240;LATINA
210;LIVORNO
-210;LIVORNO
296,4;LA SPEZIA
